artist_mbid,total_listen_count,total_user_count
fc01c30b-8c37-42f9-95cf-df169bcabb72,2381,296
75780e58-6ec5-4f0f-9e68-abfaae9ae9e7,34,12
96a0ffd8-d1dd-4cc1-aa9b-f43f1fafafcf,92849,10911
55008116-f7aa-4f68-b713-b6c947f7d43c,35863,2912
954b8871-0e31-432a-91a2-f29ba72b2137,38333,6348
6ec4a890-9640-4551-87cb-59226f7b8e20,4430,587
34badc4c-97cd-434a-8aba-5d7ce8b883d8,5304,729
edf0baf2-caff-4f5a-a78f-30a42f146dfe,9111,2006
b1355867-16a1-4863-ae3b-6a8be122eaaa,73993,8761
9c5c0632-dbef-4674-a90c-af04412a1508,15267,3351
c7c1b94b-92d6-4ffb-bc53-949e24d8b858,37687,3475
f1781156-f818-4c33-801c-bb2a74822ea4,106613,7865
c885a022-e344-4186-a891-c0ea41b70ecd,3445,310
702d2b90-eef0-4354-b2c4-6366eba92b7f,248510,21947
18d0f30e-417d-4fb7-b3ba-22bd94b1072b,1082,174
453dab0c-aa5f-4091-bf58-64dead0d06b8,163986,12114
110df860-7524-4075-9816-d661e30b77ed,59457,4110
8b060f17-69f6-48ae-add3-29df62e5eb0d,6424,415
ad93763f-9bab-4a3f-a476-22fc9504bef3,5420,1094
8b034085-b06d-4c42-9be3-d709be169d79,74641,9417
b7e43655-5de7-4fd5-b354-7c7521eddc89,3617,1447
962d5c80-b643-45c8-9011-4a77ecfb020c,78,34
242345b8-050f-4ec6-8a4c-ea27c9828c00,61,17
ce71c621-a515-4af8-b755-dec9c1937ef4,75585,5111
28c646b6-b854-467f-8e2d-cd1f540ac784,20255,2796
dedfd6ff-6687-454e-8dc4-b0e35f4fb0dd,6520,567
30331c85-26d4-4daa-9f66-3075cac4c20b,264072,17340
9e73c869-20a8-444f-903e-a0dd17fee1ac,48012,5305
566ea6da-3a59-4fce-879c-eb97ca8d9d25,20340,4001
6052b119-dd4e-490f-9339-b22ee9c5a578,5745,949
f196f52c-7c2e-447e-bdb7-14224dadf639,693,80
1b337b9f-1562-4863-a5c8-50c9d6d5e010,190605,9787
f37c43de-b874-4b6b-b160-5d6da5683b0c,883,200
46a9934a-92bb-409b-93bb-42bc087841c1,53938,4106
f0d140db-fab3-4b8d-be1c-54606472d3e9,4453,673
97c0de83-1526-47d2-a54f-2678b109881f,573,36
9be2a5ac-8201-489b-b5f6-91f958bf9060,785801,29429
5861040a-93bf-4bfb-a314-7f3979367543,169712,12427
05c36395-70f0-4d59-a6d7-6dd7a0af90f2,14,7
7247ef92-6c65-484d-9cf1-a737382a4721,18888,2126
2e7291f1-7335-48d2-ad37-be656d031880,13389,1083
5b378c98-311e-4aa3-83bf-deb667fc5b2e,1214,214
86140f65-63c8-47cd-84b5-8784a1791d3f,12411,987
b0b83d67-b9a4-4514-a4e9-7e8a575ae54d,312,55
194e2419-213d-4a90-a83c-d11402a865ff,462,41
86cce037-9b4c-4802-a455-abc19210cd9c,1681,704
a1c1fb23-38e0-4d7f-8fed-3c81fef5ad0f,35553,2868
cf6633d5-fb76-4a4d-b1a0-1a6477925a9a,4643,694
71e4ba48-904c-49d9-8f8c-cc608f088ad4,33180,3796
083cb33e-c9a2-4156-a21c-cfda976476e9,14443,1803
09e543a1-2a27-4436-a597-92ea89495b27,13269,1403
7aa9a7fb-9891-40e8-9444-ffe76dc1d038,34876,4670
a580aa0d-b1bb-4e5a-9591-de832ed3ac1b,132853,13139
26526bc4-e25f-496c-9735-24b757d5a73f,42,5
cae5f279-e420-4f62-99a4-6849f2078862,14003,4015
ea524cc6-191a-4c05-ab88-3bb5c0880ca5,260545,26378
a5f7a28a-ac92-4b0f-a64d-2c5429c32e85,1177,272
33c2a158-a788-44e5-81ab-142d544a165b,45232,13260
fdc6b967-0af2-416b-b328-30d1c1fcfeb6,164172,9171
cb8dad1a-a721-4e7d-a598-217848d9ad7e,16928,3277
7123a900-2e38-4d17-bf60-6002bc1c932f,5199,1030
5bdc8759-a592-4202-a48c-691d4bec5c6d,38197,6922
58724240-bdfc-4301-aea9-06c1138233dd,74625,8373
4fb1308f-bf40-4049-a267-5ad3f66aaf83,6257,1759
d2f9fa28-601e-4bd3-8312-ca7d0f8cce51,52,16
a8b68416-7ea4-4178-9e06-416cdaf019d6,294,66
c7263a74-517a-40ac-8d76-60ba74c0549c,366,49
ff08b3bb-559e-4635-b3f5-f37a212231e4,13261,1051
97b8d224-5660-419c-8dff-4b3bf0c33983,1201763,43181
c485632c-b784-4ee9-8ea1-c5fb365681fc,26038058,351673
5b11f4ce-a62d-471e-81fc-a69a8278c7da,56516665,431956
260072fb-48e5-4653-9d17-b22e39e84d9c,169698,9244
171b6355-3602-4c00-9a17-01ca20077318,187139,5541
cc699fe3-db51-4837-928f-8f712c61a01a,323434,7929
d4aad415-9cd0-4845-9b05-0416fdcc9fc4,1177423,59678
8bfac288-ccc5-448d-9573-c33ea2aa5c30,76597718,427767
95e1ead9-4d31-4808-a7ac-32c3614c116b,52606642,392620
