area_mbid,area_name,area_sort_name,area_type,area_type_id,iso_codes,disambiguation,begin,end,ended
ff696a74-6463-4aaa-9dd1-4da9cad3f618,Dompierre-sur-Mer,Dompierre-sur-Mer,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
66324d50-c059-4c1b-8da2-3b64ca180fe4,Duhort-Bachen,Duhort-Bachen,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
7ea07396-9e69-4413-96d7-348bef6470bc,Spay,Spay,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
96111f6e-d6ac-4dc3-9e9a-e9cd9bf76c90,Saint-Maixent-de-Beugné,Saint-Maixent-de-Beugné,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
dccfb89b-79ef-4f2f-a7a3-f4c9b7c9e05f,Golfech,Golfech,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
1a20efec-1bd3-4d5f-9cef-24c01e50f736,Fors,Fors,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
5c2ea27a-8d79-47c7-9cfa-e0a834ac2fca,Marsaneix,Marsaneix,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
ffc35f33-0bc5-4d0b-a592-c375d48939ba,Glorianes,Glorianes,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
9c622836-029e-4f53-bd69-6cf4ba30227e,Carnoux-en-Provence,Carnoux-en-Provence,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
d1a49344-b751-4137-82cf-aa4222fcfbd1,Fontanil-Cornillon,Fontanil-Cornillon,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
5d7d5530-5ff9-4ac2-95f3-ac1c0f796d99,La Rivière-de-Corps,La Rivière-de-Corps,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
cf924c62-0696-4d1a-a5f0-25de84a906e1,Roche,Roche,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
e8e14a61-0341-452d-803e-06d1b937f1af,Saint-Rémy-de-Maurienne,Saint-Rémy-de-Maurienne,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
332223fc-d0a8-4cb9-95fc-ae596258b583,Delouze-Rosières,Delouze-Rosières,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
343a2113-ebe8-4f0e-acd8-572ad756d5b6,La Grande-Verrière,La Grande-Verrière,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
cbc0f380-0318-4ec5-baf2-fa8218940caa,Hammeville,Hammeville,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
03977ec6-7f7e-4669-9720-3e2e02012ed6,Saint-Germain-sur-Meuse,Saint-Germain-sur-Meuse,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
d8231da3-42f2-495c-8f14-c5f23e0b7e22,Briquenay,Briquenay,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
e62a0259-ea55-4946-a651-2d10d081353c,Gageac-et-Rouillac,Gageac-et-Rouillac,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
d12733e4-5901-43b7-9c4f-a43d1906e3e9,Montesquieu-Avantès,Montesquieu-Avantès,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
071c86a8-748b-4acd-bc00-2b06d9739581,Gazave,Gazave,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
b0fe55f6-fdd2-45b6-af62-237cddb0925d,Bougneau,Bougneau,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
be4526d9-6db5-4627-acde-79516fb58fca,Courville,Courville,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
1a7bd24f-4b53-456c-97b7-240b7dd7beea,Saint-Aubin-de-Blaye,Saint-Aubin-de-Blaye,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
8b87decc-1cff-4427-b519-9d577db3cdd5,Damblainville,Damblainville,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
417270a9-a5e4-4d5f-b040-5ae525b83cff,Tourtour,Tourtour,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
e24bbf59-62d7-47c8-8ab5-495875208119,Messy,Messy,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
17f1b067-5e1b-4913-8d6b-d4472840ac37,Gilley,Gilley,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
d0969d3c-0fc5-418e-8145-20a24f1b25a4,Vadenay,Vadenay,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
b1bdf793-fe80-4922-963f-fffedfd0ea18,Boisset,Boisset,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
aaec3e8a-329b-4271-924e-693118e82c32,Écorches,Écorches,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
103d9058-bd3a-497d-9f38-dd8ba13ebcd1,Bosc-Bérenger,Bosc-Bérenger,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
e1643ce4-12c1-46c5-8e49-e2953f31d738,Saujon,Saujon,City,6fd8f29a-3d0a-32fc-980d-ea697b69da78,,,,,False
